po_number,line_no,gr_number,qty_received,received_date
PO-45001,1,GR-77001,400,2026-06-20
PO-45001,2,GR-77001,250,2026-06-20
PO-45002,1,GR-77002,60,2026-06-24
PO-45003,1,GR-77003,12,2026-06-26
PO-45004,1,GR-77004,550,2026-06-30
PO-45005,1,GR-77005,1500,2026-07-02
PO-45006,1,GR-77006,120,2026-07-03
PO-45007,1,GR-77007,45,2026-07-06
PO-45008,1,GR-77008,320,2026-07-08
PO-45008,2,GR-77008,40,2026-07-08
PO-45010,1,GR-77010,6,2026-05-19
PO-45011,1,GR-77011,4000,2026-07-11
PO-45011,2,GR-77011,1200,2026-07-11
PO-45011,3,GR-77011,30,2026-07-11
PO-45012,1,GR-77012,500,2026-07-14
PO-45013,1,GR-77013,12000,2026-07-16
PO-45013,2,GR-77013,12000,2026-07-16
