invoice_key,supplier_invoice_number,supplier_id,po_number,invoice_date,currency,subtotal,freight,stated_total
INV-2026-0001,INV-2026-0001,SUP-1001,PO-45001,2026-06-24,USD,2140.00,0.00,2140.00
INV-2026-0002,INV-2026-0002,SUP-1002,PO-45002,2026-06-28,USD,8970.00,0.00,8970.00
INV-2026-0003,INV-2026-0003,SUP-1003,PO-45003,2026-07-01,USD,4989.60,0.00,4989.60
INV-2026-0004,INV-2026-0004,SUP-1001,PO-45004,2026-07-04,USD,2310.00,0.00,2310.00
INV-2026-0005,INV-2026-0005,SUP-1006,PO-99999,2026-07-05,USD,1725.00,0.00,1725.00
INV-2026-0001-DUPLICATE,INV-2026-0001,SUP-1001,PO-45001,2026-06-24,USD,2140.00,0.00,2140.00
INV-2026-0007,INV-2026-0007,SUP-1005,PO-45006,2026-07-07,USD,2940.00,0.00,2940.00
INV-2026-0008,INV-2026-0008,SUP-1004,PO-45007,2026-07-09,EUR,9540.00,0.00,9540.00
INV-2026-0009,INV-2026-0009,SUP-1002,PO-45008,2026-07-12,USD,68220.80,0.00,68220.80
INV-2026-0010,INV-2026-0010,SUP-1007,PO-45009,2026-07-13,USD,2560.00,0.00,2560.00
INV-2026-0011,INV-2026-0011,SUP-1003,PO-45010,2026-07-15,USD,3840.00,0.00,3840.00
INV-2026-0012,INV-2026-0012,SUP-1006,PO-45011,2026-07-17,USD,7447.00,0.00,7447.00
INV-2026-0013,INV-2026-0013,SUP-1007,PO-45013,2026-07-19,USD,5160.00,250.00,5410.00
INV-2026-0014,INV-2026-0014,SUP-1001,PO-45012,2026-07-21,USD,1200.00,0.00,1380.00
INV-2026-0015,INV-2026-0015,SUP-1006,PO-45005,2026-07-23,USD,1725.00,0.00,1725.01
